4,100,35106.836,10500000,6,10,10500000,69939.984
4,250,35106.836,10500000,9,30,10499999,164068.8
4,500,35106.836,10500000,19,71,10499997,352321.47
13,100,50217.57,10500000,14,12,10500000,88563.016
13,250,50217.57,10500000,18,42,10499974,170269.53
13,500,50217.57,10500000,29,96,10499962,395512.44
21,100,197560.1,817372,21,11,817372,214433.45
21,250,197560.1,817372,29,45,817372,233580.25
21,500,197560.1,817372,77,105,817372,267352.0
7,100,197002.78,67503,12,14,67503,201323.47
7,250,197002.78,67503,61,54,67503,204788.86
7,500,197002.78,67503,65,124,67503,208614.27
10,100,227176.4,10363045,9,14,10363045,314335.0
10,250,227176.4,10363045,27,53,10363028,461690.0
10,500,227176.4,10363045,47,123,10363018,821534.2
5,100,232171.28,336919,13,14,336919,270690.7
5,250,232171.28,336919,29,54,336919,283644.34
5,500,232171.28,336919,67,124,336919,307275.28
3,100,267168.62,8399634,10,14,8399634,379435.7
3,250,267168.62,8399634,26,54,8399634,551623.94
3,500,267168.62,8399634,50,123,8399621,867794.1
12,100,274848.5,5998867,6,9,5998867,321499.3
12,250,274848.5,5998867,15,33,5998867,420117.56
12,500,274848.5,5998867,28,80,5998867,585000.94
18,100,306963.62,41995307,10,18,41995307,746823.2
18,250,306963.62,41995307,26,65,41995221,1561470.8
18,500,306963.62,41995307,70,154,41995186,3523218.5
8,100,457664.5,56430,10,15,56430,240142.17
