4,100,35106.836,10500000,21,14,10499999,35113.676
4,250,35106.836,10500000,15,40,10499991,35120.227
4,500,35106.836,10500000,17,74,10499982,36178.863
13,100,50217.57,10500000,3,10,10499999,51401.32
13,250,50217.57,10500000,6,37,10499990,50675.367
13,500,50217.57,10500000,14,71,10499982,52438.625
21,100,197560.1,817372,18,10,817371,196486.22
21,250,197560.1,817372,7,35,817371,195118.53
21,500,197560.1,817372,14,67,817369,195505.55
7,100,197002.78,67503,3,10,67503,197148.48
7,250,197002.78,67503,6,33,67503,199843.83
7,500,197002.78,67503,14,62,67503,199874.38
10,100,227176.4,10363045,3,10,10363044,227780.3
10,250,227176.4,10363045,9,37,10363040,229725.33
10,500,227176.4,10363045,13,71,10363024,229641.38
5,100,232171.28,336919,3,10,336919,234272.47
5,250,232171.28,336919,7,33,336919,221297.34
5,500,232171.28,336919,36,62,336919,220561.2
3,100,267168.62,8399634,3,10,8399634,264450.12
3,250,267168.62,8399634,6,37,8399634,263278.5
3,500,267168.62,8399634,11,76,8399629,271624.25
12,100,274848.5,5998867,3,10,5998866,277728.34
12,250,274848.5,5998867,5,33,5998859,271832.34
12,500,274848.5,5998867,10,62,5998851,273976.7
18,100,306963.62,41995307,3,11,41995306,308291.84
18,250,306963.62,41995307,5,45,41995254,314641.3
18,500,306963.62,41995307,12,94,41995195,323278.0
8,100,457664.5,56430,4,10,56430,454285.6
